minimum_time,maximum_time,mean_time,median_time,variance_time,kurtosis_time,skewness_time,coeff_of_var_time,iqr_time,trimmed_mean_time,entropy_time,proportion_of_zeros,minimum_freq,maximum_freq,mean_freq,median_freq,variance_freq,kurtosis_freq,skewness_freq,coeff_of_var_freq,iqr_freq,trimmed_mean_freq,entropy_freq,spectral_flatness
0.0,1775.4,146.84373,79.1,39430.637,16.872656,3.2175381183624268,1.3505203,214.30833530426025,112.76699,7.600386615777539,0.07731958762886598,444763.38,35124880.0,4922578.0,3096667.0,65203240000000.0,8.278364,3.055724620819092,1.6403706,3321369.75,2812564.2,3.8625259061386688,0.4931569
0.0,1184.5333,289.17087,261.43332,73694.85,-0.23258996,0.7102442383766174,0.9374756,457.2416672706604,258.74545,7.788425158671512,0.027777777777777776,1201957.9,77780390.0,8541842.0,2765302.8,334164800000000.0,9.678225,3.353926420211792,2.140074,2754711.8125,3691799.0,3.4110102994463434,0.42093104
0.0,950.25,129.16728,50.816666,27766.01,2.8772821,1.6287332773208618,1.2883623,204.80833423137665,98.61677,7.507113524194276,0.044270833333333336,362312.88,21835024.0,2768502.8,1349840.5,21410660000000.0,9.650369,3.2836050987243652,1.6713603,1286005.75,1512580.4,3.913935248699928,0.5679429
0.0,1059.3167,151.09148,81.73334,29531.572,1.9335661,1.321734070777893,1.135836,252.17916440963745,123.827675,7.6211104324286145,0.0918918918918919,437967.16,24660886.0,3111768.2,1344710.4,32185931000000.0,9.442859,3.299121141433716,1.8231642,969862.78125,1655659.5,3.7564004421415307,0.51539993
0.0,906.48334,221.27753,178.98334,46180.473,-0.36211944,0.7309673428535461,0.97003776,362.5000047683716,196.21008,7.998547480307087,0.09953703703703703,698981.94,30401364.0,4731093.5,1927837.2,44840040000000.0,6.700033,2.714890241622925,1.4153748,3136302.875,3023669.8,4.061218382454408,0.57549006
0.0,719.4167,75.061485,42.591667,8648.377,9.114863,2.4391582012176514,1.2372273,102.89166450500488,58.222412,7.591395763649925,0.055248618784530384,163826.62,4238113.0,751457.94,481364.75,810818000000.0,9.10503,3.216822385787964,1.1982764,148299.96875,525193.8,4.363182437919303,0.7354758
0.0,1099.25,109.48111,52.458332,20248.443,9.519291,2.5114564895629883,1.2979538,161.03333711624146,82.409325,7.542341786477401,0.046703296703296704,464694.16,8664278.0,2071862.9,1508277.0,2924200300000.0,6.0160923,2.487304210662842,0.8253584,757648.75,1686144.6,4.599358658985856,0.8052179
0.0,1501.8,146.32727,5.541667,54861.113,3.348586,1.8403799533843994,1.5995423,243.7750015258789,96.44646,7.889830841625872,0.27363896848137537,411830.94,39661524.0,4683842.5,1973005.6,83559210000000.0,10.004759,3.417407751083374,1.9516183,2173963.625,2364248.0,3.6602167282625304,0.4962543
0.0,1046.0167,85.66364,69.05,8097.554,34.586815,3.794975757598877,1.0490022,118.437495470047,74.44274,7.817193001026248,0.03888888888888889,151869.77,4059864.5,731769.6,471381.56,776058200000.0,7.648185,2.9432027339935303,1.203851,248301.734375,501947.72,4.325404062775996,0.7060479
0.0,389.28333,70.900734,64.666664,3598.2788,4.015282,1.5241702795028687,0.84486544,78.01666450500488,63.69731,7.97893208865404,0.04201680672268908,22973.318,1351987.1,386745.34,299093.34,110555140000.0,1.241426,1.4354504346847534,0.8597345,297872.53125,329499.47,4.493496498627358,0.69833887
0.0,828.76666,156.94221,116.71667,28644.393,1.7641525,1.417607307434082,1.0768805,212.06667041778564,127.60597,7.680639537048279,0.05070422535211268,526395.44,22961692.0,3104555.0,1220685.1,26432942000000.0,8.215723,3.0483815670013428,1.6560497,1519217.90625,1699515.9,3.8768073896205903,0.5420133
4.05,2095.9834,153.6145,22.216667,59267.8,9.869778,2.619114398956299,1.5835885,214.81666564941406,101.13826,8.022843932711957,0.0,752934.4,49208096.0,5923385.5,2605486.8,125620200000000.0,9.931915,3.3986291885375977,1.8921683,2631319.125,3072618.5,3.717812697026537,0.5141121
